acetic acid maker,1
army accoutrement maker,1
artificial florist,1
artist,1
babylinen warehouse,3
bag maker,1
baker,9
bedding maker,2
beer retailer,10
berlin wool warehouse,1
biscuit baker,1
boarding house,2
bonnet maker,2
bookbinder,1
bookseller,1
bootmaker,8
braidmanfctr,1
brushmaker,2
butcher,8
cabinet maker,1
carman,1
carpenter,1
cart owner,1
chandler's shop,24
cheesemonger,4
china dealer,1
church embroideress &amp;c,1
coal dealer,1
cocoa mat ma,1
coffee rooms,16
confectioner,12
corndealer,6
corset maker,2
court dressmaker,2
cowkeeper,2
dairy,8
day school,2
dealer in fancy goods,1
dining rooms,5
draper,1
dressmaker,34
dressmakr,2
dyer,4
engraver,1
fancy drpr,1
fancy rep,1
farrier,1
feather distributer,1
feather dyer,1
free emigration agency,1
fruiterer,6
furniture dealer,3
glass bottle manufacturers,1
gold beater,1
governesses'agent,1
greengrocer,7
grindery dealer,1
grocer,18
haberdasher,7
hairdresser,4
ham&amp;beef dlr,1
hatter,1
head mistress,1
herbalist,2
hon. sec,1
hosier,5
inspector of weights &amp; measures,1
ironmonger,1
ivory merchant,1
jeweller,1
jobmaster,1
lace cleaner,2
lace maker,1
ladies school,1
ladies' employment agency,1
ladies' outfitter,1
ladies' outftr,1
ladies' schl (Bullingham house),1
ladies' schl,3
ladies' school,4
lady superintendent,3
laundress,5
leatherseller,1
library,1
linen collar maker,1
linendraper,5
lodging house,44
manageress,1
matron,8
midwife,4
milliner,31
mourning warehouse,1
newsagent,4
newsvendor,2
oil &amp; color warehouse,9
ostrich feather dealer,1
pastrycook,2
pawnbroker,3
perambulator maker,1
perfumerer,1
pianoforte silker,1
piece broker,1
potato salswomn,1
preparatory school,1
private hotel,3
prof of dancing,1
proprietor,2
provision dlr,1
rag dealer,1
registry office for servants,3
saddler,1
school,9
secretary,3
seminary,3
shirt &amp; collar dresser,3
sponge dealer,1
stationer,10
staymaker,7
straw hat maker,1
superintendant,1
superioress,1
teacher of music,1
theatrical costumier,3
tinplate worker,1
tobacconist,12
toyseller,4
trunk maker,1
turner,1
upholsterer,2
vellum binder,1
veterinary surgeon,1
vocalist,1
wardrobe dealer,5
widows' cap maker,1
wine merchant,1
